Serial number	Sensor position ID	T sensor depth (mm)
2823F587060000 B	T1-1	44
284ADC98060000F7	T1-2	82
28ADF4940600008F	T1-3	120
28EA767606000079	T1-4	158
28CD0595060000A8	T1-5	196
289C1195060000D2	T1-6	234
2861E7770600009E	T1-7	272
28B65C9806000033	T2-1	44
28E8EE98060000C2	T2-2	82
2800ED98060000 4	T2-3	120
28AF9898060000C3	T2-4	158
28999A980600001F	T2-5	196
28C1A2980600002A	T2-6	234
282D84980600001A	T2-7	272
28065797060000DE	T3-1	44
2832CB96060000F6	T3-2	82
284558970600009D	T3-3	120
28F35595060000C3	T3-4	158
28989D9806000079	T3-5	196
28206E9806000037	T3-6	234
28723696060000C9	T3-7	272
281A7A9806000076	T4-1	44
28B75A95060000 5	T4-2	82
28F3AB960600004F	T4-3	120
28607987060000CD	T4-4	158
283FD295060000BB	T4-5	196
289E979806000076	T4-6	234
28EDDC940600003C	T4-7	272
28B99598060000C6	T5-1	44
28F88698060000B6	T5-2	82
282E3B97060000F9	T5-3	120
281B2797060000A2	T5-4	158
280C60980600005E	T5-5	196
28D6D89806000024	T5-6	234
288541970600008D	T5-7	272
28A8FC940600005A	T6-1	44
28BC619806000094	T6-2	82
28A7B6960600002D	T6-3	120
28BEA49706000090	T6-4	158
2849F99406000096	T6-5	196
28541E9506000083	T6-6	234
288C1E95060000E6	T6-7	272
2871658806000066	T7-1	44
28E4F598060000B3	T7-2	82
28A43095060000AB	T7-3	120
28C56576060000D9	T7-4	158
28296188060000F6	T7-5	196
2807D994060000 8	T7-6	234
28AD6B78060000 C	T7-7	272
289542950600009F	T8-1	44
2834E498060000C6	T8-2	82
280A6098060000EC	T8-3	120
280AD798060000F2	T8-4	158
28E0379506000053	T8-5	196
28BB309806000049	T8-6	234
280D997606000060	T8-7	272
